0,曲名,歌手名,原曲アーティスト,JOY,DAM,MUE,作詞,作曲,編曲,,最低音,,最高音,音域,原曲差,調,歌い出し,時間,BPM,系列・分類,発売日,人数,カナ,https://www.joysound.com/web/search/song/,JOYページLINK,DAMページLINK,,Spotify
1,THE IDOLM@STER(HYR VERSION),天海春香(中村繪里子)・萩原雪歩(落合祐里香)・秋月律子(若林直美),,927318,2355-97,1467B45,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,05:30,165 ,AS,05/09/28,3 ,アイドルマスター,199155,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
2,THE IDOLM@STER(k VERSION),音無小鳥(滝田樹里),,175925,2355-97,2108B6,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,05:32,165 ,AS,08/02/13,1 ,アイドルマスター,123210,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
3,THE IDOLM@STER(M@STER VERSION -REMIX-),天海春香(中村繪里子)・如月千早(今井麻美)・萩原雪歩(落合祐里香)・高槻やよい(仁後真耶子)・秋月律子(若林直美)・三浦あずさ(たかはし智秋)・水瀬伊織(釘宮理恵)・菊地真(平田宏美)・双海亜美/真美(下田麻美),,137842,2355-97,1983A34,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,05:15,165 ,AS,06/05/31,9 ,アイドルマスター,143204,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
4,THE IDOLM@STER,天海春香(中村繪里子)・如月千早(今井麻美)・萩原雪歩(落合祐里香)・高槻やよい(仁後真耶子)・秋月律子(若林直美)・三浦あずさ(たかはし智秋)・水瀬伊織(釘宮理恵)・菊地真(平田宏美)・双海亜美/真美(下田麻美),,138683,2355-97,2430B36,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,02:03,165 ,AS,06/03/22,9 ,アイドルマスター,144763,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
5,THE IDOLM@STER,IM@S ALLSTARS,,138300,2355-97,1983A34,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,02:03,165 ,AS,06/12/20,10 ,アイドルマスター,143949,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
6,THE IDOLM@STER,星井美希(長谷川明子),,163247,2355-97,1786B7,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,02:03,165 ,AS,07/04/04,1 ,アイドルマスター,103969,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
7,THE IDOLM@STER(PVクリップ),星井美希(長谷川明子)・如月千早(今井麻美)・天海春香(中村繪里子),,190741,2355-97,1759A41,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,02:03,165 ,AS,07/01/25,3 ,アイドルマスター,101978,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
8,THE IDOLM@STER(REM@STER-A),星井美希(長谷川明子),,695585,2355-97,3832B7,中村恵,NBGI(佐々木宏人),Rayih,27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,04:56,165 ,AS,08/10/29,1 ,アイドルマスター,470028,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
9,THE IDOLM@STER(REM@STER-B),水瀬伊織(釘宮理恵)・菊地真(平田宏美)・秋月律子(若林直美),,101969,2355-97,2601B32,中村恵,NBGI(佐々木宏人),笹本安詞,27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,03:56,165 ,AS,08/04/16,3 ,アイドルマスター,156304,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
10,THE IDOLM@STER(たろすけバスターNW MIX),天海春香(中村繪里子)・星井美希(長谷川明子),,138300,2355-97,1983A34,中村恵,NBGI(佐々木宏人),戸田宏武,27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,02:42,165 ,AS,08/04/02,2 ,アイドルマスター,143949,JOY,DAM,https://open.spotify.com/intl-ja/track/3ogpnI8GWacjiOlY6MeEag?si=1ce9193c738f4730,Spotify
11,THE IDOLM@STER 2nd-mix,天海春香(中村繪里子)・星井美希(長谷川明子)・萩原雪歩(浅倉杏美)・我那覇響(沼倉愛美)・四条貴音(原由実),,105118,3807-16,2624A18,中村恵,NBGI(佐々木宏人),遠山明孝,27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,04:50,168 ,AS,10/09/22,5 ,アイドルマスター,161367,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
12,THE IDOLM@STER 初星-mix,765PRO ALLSTARS,,137842,2355-97,1983A34,中村恵,NBGI(佐々木宏人),BNSI(宇佐美十章)・川崎良介(Dimension Cruise),27,mid2B,42,hiD,16,,E minor,もう伏目がちな昨日なんていらない,05:42,165 ,AS,19/01/23,13 ,アイドルマスター,143204,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
13,THE IDOLM@STER(韓国語Ver.),B-Side(ソリ・ジウォン・ユキカ・イェウン・ジスル),,137842,2355-97,1983A34,Jam Factory・中村恵,NBGI(佐々木宏人),PKT,27,mid2B,42,hiD,16,,E minor,날 위해 태양은 뜨고 지고 하루를,02:55,168 ,KR,17/04/07,5 ,アイドルマスター,143204,JOY,DAM,https://open.spotify.com/intl-ja/track/1wULweNhNK5hfzLGmTYYLb?si=3bfe527a63b34fe7,Spotify
14,太陽のジェラシー(M@STER VERSION),天海春香(中村繪里子)・水瀬伊織(釘宮理恵)・如月千早(今井麻美),,174486,2849-23,1530A10,森由里子,NBGI(椎名豪),NBGI(椎名豪),27,mid2B,40,hiC,14,,F major,もっと遠くへ泳いでみたい 光満ちる,03:27,128 ,AS,06/03/22,3 ,タイヨウノジェラシー,120508,JOY,DAM,https://open.spotify.com/intl-ja/track/1VrVTVNsTCr8hnH5Cthomf?si=52691fda61994b43,Spotify
15,太陽のジェラシー(M@STER VERSION),天海春香(中村繪里子),,138599,2849-23,2430B33,森由里子,NBGI(椎名豪),NBGI(椎名豪),27,mid2B,40,hiC,14,,F major,もっと遠くへ泳いでみたい 光満ちる,03:27,128 ,AS,07/01/31,1 ,タイヨウノジェラシー,144625,JOY,DAM,https://open.spotify.com/intl-ja/track/1VrVTVNsTCr8hnH5Cthomf?si=52691fda61994b43,Spotify
16,太陽のジェラシー,天海春香(中村繪里子),,138100,2849-23,1435A4,森由里子,NBGI(椎名豪),NBGI(椎名豪),27,mid2B,40,hiC,14,,F major,もっと遠くへ泳いでみたい 光満ちる,02:05,128 ,AS,05/09/28,1 ,タイヨウノジェラシー,143619,JOY,DAM,https://open.spotify.com/intl-ja/track/1VrVTVNsTCr8hnH5Cthomf?si=52691fda61994b43,Spotify
17,太陽のジェラシー(REM@STER-A),双海亜美(下田麻美),,178878,2849-23,2276A36,森由里子,NBGI(椎名豪),竹中文一,27,mid2B,40,hiC,14,,F major,もっと遠くへ泳いでみたい 光満ちる,03:34,128 ,AS,08/05/14,1 ,タイヨウノジェラシー,128516,JOY,DAM,https://open.spotify.com/intl-ja/track/1VrVTVNsTCr8hnH5Cthomf?si=52691fda61994b43,Spotify
18,太陽のジェラシー(REM@STER-B),秋月律子(若林直美),,135567,2849-23,2318A18,森由里子,NBGI(椎名豪),竹中文一,27,mid2B,40,hiC,14,,F major,もっと遠くへ泳いでみたい 光満ちる,03:23,128 ,AS,08/04/16,1 ,タイヨウノジェラシー,131642,JOY,DAM,https://open.spotify.com/intl-ja/track/1VrVTVNsTCr8hnH5Cthomf?si=52691fda61994b43,Spotify
19,太陽のジェラシー(『オーダイン』ファミソン8BIT MIX),天海春香(中村繪里子)・星井美希(長谷川明子),,138100,2849-23,1435A4,森由里子,NBGI(椎名豪),KPLECRAFT,27,mid2B,40,hiC,14,,F major,Dream 夢なら醒めないで,03:28,128 ,AS,08/04/02,2 ,タイヨウノジェラシー,143619,JOY,DAM,https://open.spotify.com/intl-ja/track/6ovnCf0MqJKmpHqYOlhUM5?si=d85662df8928412e,Spotify
20,おはよう!!朝ご飯(M@STER VERSION),高槻やよい(仁後真耶子)・三浦あずさ(たかはし智秋)・萩原雪歩(落合祐里香),,176017,2863-97,1530A15,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),25,mid2A,41,hiC♯,17,,D major,まぶたを開けて さわやかお目覚め,03:50,152 ,AS,06/03/22,3 ,オハヨウアサゴハン,123351,JOY,DAM,https://open.spotify.com/intl-ja/track/3UdvpX4kHqTowdLFVOJ008?si=e231ab8afe2d4e91,Spotify
21,おはよう!!朝ご飯,高槻やよい(仁後真耶子),,137737,2863-97,2400A17,中村恵,NBGI(佐々木宏人),NBGI(佐々木宏人),25,mid2A,39,hiB,15,,D major,まぶたを開けて さわやかお目覚め,02:03,152 ,AS,05/11/30,1 ,オハヨウアサゴハン,143024,JOY,DAM,https://open.spotify.com/intl-ja/track/3UdvpX4kHqTowdLFVOJ008?si=e231ab8afe2d4e91,Spotify
22,おはよう!!朝ご飯(REM@STER-A),双海真美(下田麻美),,174111,3250-16,2000A43,中村恵,NBGI(佐々木宏人),遠藤正樹,25,mid2A,41,hiC♯,17,,D major,まぶたを開けて さわやかお目覚め,03:55,152 ,AS,08/03/05,1 ,オハヨウアサゴハン,119834,JOY,DAM,https://open.spotify.com/intl-ja/track/3UdvpX4kHqTowdLFVOJ008?si=e231ab8afe2d4e91,Spotify
23,おはよう!!朝ご飯(REM@STER-B),菊地真(平田宏美),,101217,2863-97,2589B41,中村恵,NBGI(佐々木宏人),水野敏宏,25,mid2A,41,hiC♯,17,,D major,まぶたを開けて さわやかお目覚め,03:18,152 ,AS,08/05/14,1 ,オハヨウアサゴハン,155027,JOY,DAM,https://open.spotify.com/intl-ja/track/3UdvpX4kHqTowdLFVOJ008?si=e231ab8afe2d4e91,Spotify
24,おはよう!!朝ご飯(『ドルアーガの塔』ファミソン8BIT MIX),高槻やよい(仁後真耶子)・双海亜美/真美(下田麻美),,101746,2863-97,2615A7,中村恵,NBGI(佐々木宏人),ZUNBA kobayashi,25,mid2A,39,hiB,15,,D major,まぶたを開けて さわやかお目覚め,02:31,152 ,AS,08/03/25,2 ,オハヨウアサゴハン,155931,JOY,DAM,https://open.spotify.com/intl-ja/track/7HC2PgyNZHjxWXeesGfUi0?si=b9edd3a85235407a,Spotify
25,9：02pm(M@STER VERSION),三浦あずさ(たかはし智秋)・如月千早(今井麻美)・菊地真(平田宏美),,736731,2871-09,1467A33,yura,NBGI(Jesahm),NBGI(Jesahm),27,mid2B,39,hiB,13,,G major,Good night ひとりきり Make up,04:17,67.5 ,AS,05/11/02,3 ,ナインオーツーピーエム,403074,JOY,DAM,https://open.spotify.com/intl-ja/track/34fWe2EbHN2UPMajK1uP7R?si=418599509b324657,Spotify
26,9：02pm(M@STER VERSION),三浦あずさ(たかはし智秋),,174276,2871-09,2054B22,yura,NBGI(Jesahm),NBGI(Jesahm),27,mid2B,39,hiB,13,,G major,Good night ひとりきり Make up,04:17,67.5 ,AS,06/09/27,1 ,ナインオーツーピーエム,120124,JOY,DAM,https://open.spotify.com/intl-ja/track/34fWe2EbHN2UPMajK1uP7R?si=418599509b324657,Spotify
27,9：02pm(REM@STER-A),双海亜美(下田麻美),,174110,3250-15,2000A42,yura,NBGI(Jesahm),西本卓朗,27,mid2B,39,hiB,13,,G major,Good night ひとりきり Make up,03:57,67.5 ,AS,08/03/05,1 ,ナインオーツーピーエム,119835,JOY,DAM,https://open.spotify.com/intl-ja/track/34fWe2EbHN2UPMajK1uP7R?si=418599509b324657,Spotify
28,9：02pm(REM@STER-B),秋月律子(若林直美),,695586,2871-09,3832B8,yura,NBGI(Jesahm),渡部チェル・高樹リオ,27,mid2B,39,hiB,13,,G major,Good night ひとりきり Make up,03:36,67.5 ,AS,08/06/18,1 ,ナインオーツーピーエム,470051,JOY,DAM,https://open.spotify.com/intl-ja/track/34fWe2EbHN2UPMajK1uP7R?si=418599509b324657,Spotify
29,9：02pm(『ドラゴンバスター』ファミソン8BIT MIX),三浦あずさ(たかはし智秋)・秋月律子(若林直美),,174276,2871-09,2054B22,yura,NBGI(Jesahm),KPLECRAFT,27,mid2B,39,hiB,13,,G major,Good night ひとりきり Make up,03:28,135 ,AS,08/04/23,2 ,ナインオーツーピーエム,120124,JOY,DAM,https://open.spotify.com/intl-ja/track/20lLaYPFG8o1DeLvZcztF7?si=3f17a46a7d5143d6,Spotify
30,Here we go!!(M@STER VERSION),水瀬伊織(釘宮理恵)・天海春香(中村繪里子)・高槻やよい(仁後真耶子),,174941,2849-92,1581B8,yura,NBGI(Jesahm),NBGI(Jesahm),28,mid2C,37,hiA,10,,G major,わがまま言って ごめんなさいね,02:47,149 ,AS,06/05/31,3 ,ヒアウィーゴー,121264,JOY,DAM,https://open.spotify.com/intl-ja/track/1OqxKi9ik1UChO3b5EyBpa?si=4eb2c3a9845a41af,Spotify
31,Here we go!!,水瀬伊織(釘宮理恵),,137125,2849-92,2400B13,yura,NBGI(Jesahm),NBGI(Jesahm),28,mid2C,37,hiA,10,,G major,わがまま言って ごめんなさいね,02:04,149 ,AS,05/11/30,1 ,ヒアウィーゴー,135227,JOY,DAM,https://open.spotify.com/intl-ja/track/1OqxKi9ik1UChO3b5EyBpa?si=4eb2c3a9845a41af,Spotify
32,Here we go!!(REM@STER-A),星井美希(長谷川明子),,110152,2849-92,2670B35,yura,NBGI(Jesahm),宮垣憲一郎,28,mid2C,37,hiA,10,,G major,わがまま言って ごめんなさいね,03:53,149 ,AS,08/03/05,1 ,ヒアウィーゴー,170445,JOY,DAM,https://open.spotify.com/intl-ja/track/1OqxKi9ik1UChO3b5EyBpa?si=4eb2c3a9845a41af,Spotify
33,Here we go!!(REM@STER-B),萩原雪歩(落合祐里香),,695587,2849-92,3832B9,yura,NBGI(Jesahm),水野敏宏,28,mid2C,37,hiA,10,,G major,わがまま言って ごめんなさいね,02:45,149 ,AS,08/06/18,1 ,ヒアウィーゴー,470058,JOY,DAM,https://open.spotify.com/intl-ja/track/1OqxKi9ik1UChO3b5EyBpa?si=4eb2c3a9845a41af,Spotify
34,Here we go!!(『ディグダグⅡ』 ファミソン8BIT MIX),如月千早(今井麻美)・水瀬伊織(釘宮理恵),,137125,2849-92,2400B13,yura,NBGI(Jesahm),KPLECRAFT,28,mid2C,37,hiA,10,,G major,わがまま言って ごめんなさいね,03:17,149 ,AS,08/06/25,2 ,ヒアウィーゴー,135227,JOY,DAM,https://open.spotify.com/intl-ja/track/24kUzFP2kjPBQkNu95M4lb?si=5887eff9686b43a5,Spotify
35,蒼い鳥(M@STER VERSION),如月千早(今井麻美)・三浦あずさ(たかはし智秋)・秋月律子(若林直美),,736732,2849-78,1583B46,森由里子,NBGI(椎名豪),塩入俊哉,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,05:48,78 ,AS,06/05/31,3 ,アオイトリ,403075,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
36,蒼い鳥(M@STER VERSION),如月千早(今井麻美),,167959,2849-78,2340B43,森由里子,NBGI(椎名豪),塩入俊哉,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,05:48,78 ,AS,06/09/27,1 ,アオイトリ,111405,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
37,蒼い鳥,如月千早(今井麻美),,136105,2849-78,1435A8,森由里子,NBGI(椎名豪),NBGI(椎名豪),26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,02:17,106 ,AS,05/11/02,1 ,アオイトリ,132698,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
38,蒼い鳥,双海亜美/真美(下田麻美),,111556,2849-78,2676A25,森由里子,NBGI(椎名豪),NBGI(椎名豪),26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,02:08,106 ,AS,06/07/19,1 ,アオイトリ,172746,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
39,蒼い鳥(REM@STER-A),天海春香(中村繪里子),,176654,2849-78,2145B35,森由里子,NBGI(椎名豪),竹中文一,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,03:59,106 ,AS,08/05/14,1 ,アオイトリ,124555,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
40,蒼い鳥(REM@STER-B),萩原雪歩(落合祐里香),,128205,2849-78,2523B34,森由里子,NBGI(椎名豪),宮垣憲一郎,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,04:33,106 ,AS,08/04/16,1 ,アオイトリ,149663,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
41,蒼い鳥(『ドラゴンスピリット』 ファミソン8BIT MIX),如月千早(今井麻美)・水瀬伊織(釘宮理恵),,111556,2849-78,2676A25,森由里子,NBGI(椎名豪),KPLECRAFT,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,03:52,106 ,AS,08/06/25,2 ,アオイトリ,172746,JOY,DAM,https://open.spotify.com/intl-ja/track/75FrYSn47tQuhB723QkVDK?si=8bf79fa035fb4ed3,Spotify
42,蒼い鳥(M@STER VERSION)-TV ARRANGE-,如月千早(今井麻美),,167959,2849-78,2340B43,森由里子,NBGI(椎名豪),宮原恵太,26,mid2A♯,42,hiD,17,,C minor,泣くことならたやすいけれど 悲しみ,04:01,106 ,AS,11/09/07,1 ,アオイトリ,111405,JOY,DAM,https://open.spotify.com/intl-ja/track/3nlGUresFPf1lSYRF0EKIk?si=110213e3bd54488b,Spotify
43,魔法をかけて!(M@STER VERSION),天海春香(中村繪里子)・萩原雪歩(落合祐里香)・秋月律子(若林直美),,168330,2355-95,1468A35,NBGI(神前暁),NBGI(神前暁),NBGI(神前暁),28,mid2C,40,hiC,13,,F major,(Cast a spell on me!)(Cast,04:11,150 ,AS,05/09/28,3 ,マホウヲカケテ,112006,JOY,DAM,https://open.spotify.com/intl-ja/track/5t6N8SSOOoS87oEJbTZ9xp?si=2e43774b7999487a,Spotify
44,魔法をかけて!,秋月律子(若林直美),,137606,2355-95,2398A26,NBGI(神前暁),NBGI(神前暁),NBGI(神前暁),28,mid2C,38,hiA♯,11,,F major,鏡の中 ため息がひとつ 教科書が,02:07,150 ,AS,05/09/28,1 ,マホウヲカケテ,142581,JOY,DAM,https://open.spotify.com/intl-ja/track/5t6N8SSOOoS87oEJbTZ9xp?si=2e43774b7999487a,Spotify
45,魔法をかけて!(REM@STER-A),高槻やよい(仁後真耶子),,176906,2355-95,2157A36,NBGI(神前暁),NBGI(神前暁),佐藤和郎,28,mid2C,40,hiC,13,,F major,鏡の中 ため息がひとつ 教科書が,03:48,150 ,AS,08/03/05,1 ,マホウヲカケテ,124966,JOY,DAM,https://open.spotify.com/intl-ja/track/5t6N8SSOOoS87oEJbTZ9xp?si=2e43774b7999487a,Spotify
46,魔法をかけて!(REM@STER-B),如月千早(今井麻美),,176939,2355-95,2181B33,NBGI(神前暁),NBGI(神前暁),遠藤正樹,28,mid2C,40,hiC,13,,F major,鏡の中 ため息がひとつ 教科書が,04:28,150 ,AS,08/06/18,1 ,マホウヲカケテ,125003,JOY,DAM,https://open.spotify.com/intl-ja/track/5t6N8SSOOoS87oEJbTZ9xp?si=2e43774b7999487a,Spotify
47,魔法をかけて!(『妖怪道中記』ファミソン8BIT MIX),三浦あずさ(たかはし智秋)・秋月律子(若林直美),,137606,2355-95,2398A26,NBGI(神前暁),NBGI(神前暁),KPLECRAFT,28,mid2C,38,hiA♯,11,,F major,鏡の中 ため息がひとつ 教科書が,04:14,150 ,AS,08/04/23,2 ,マホウヲカケテ,142581,JOY,DAM,https://open.spotify.com/intl-ja/track/1bzJ7QL3NuwHVRV4Wpqeie?si=bf04c23d73e247f4,Spotify
48,エージェント夜を往く(M@STER VERSION),菊地真(平田宏美)・秋月律子(若林直美)・双海亜美/真美(下田麻美),,138927,2899-35,2313B15,NBGI(LindaAI-CUE),NBGI(LindaAI-CUE),NBGI(LindaAI-CUE),23,mid1G,38,hiA♯,16,,C minor,眠れない夜 この身を苛む煩悩 焦燥感,04:12,178 ,AS,06/03/22,3 ,エージェントヨルヲユク,145273,JOY,DAM,https://open.spotify.com/intl-ja/track/7fPJawzhi9P2kGzlEZpvvt?si=7a3eb85d4c6745f3,Spotify
